#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,NAME ,ids,channel_id,channel_name,total_subscribers,total_views,total_videos
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,-,India,,70.2M,,,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,270000000,261649303914,21391
2,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139M,-,India,,41.7M,,,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,175000000,167182162019,141854
3,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,-,India,,27.4M,,,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,109000000,67947654327,11625
4,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,-,India,,21.6M,,,UCyoXW-Dse7fURq30EWl_CUA,Goldmines,98400000,29544900453,8777
5,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69.2M,-,India,,20.8M,,,UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,94100000,117428463440,88388
6,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64M,-,India,,19.2M,,,UCppHT7SZKKvar4Oc9J4oljQ,Zee TV,82200000,92162638821,180216
7,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61.1M,-,India,,18.3M,,,UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane,69000000,29615926134,8669
8,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59.2M,-,India,,17.8M,,,UC55IWqFLDH1Xp7iu1_xknRA,Colors TV,74500000,72590793769,157801
9,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58.7M,-,India,,17.6M,,,UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,92000000,51672705271,793
10,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56.5M,-,India,,17M,,,UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,67300000,39803823398,6043
11,Wave Music @bhojpuriwave,55.6M,-,India,,16.7M,,,bhojpuriwave,Wave Music ,62400000,43022161912,20298
12,Sony Music India @UC56gTxNs4f9xZ7Pa2i5xNzg,55.3M,-,India,,16.6M,,,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,61100000,32559849843,4879
13,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54M,-,India,,16.2M,,,UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,66100000,32804118963,377180
14,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48.4M,-,India,,14.5M,,,UCbTLwN10NoCU4WDzLf1JMOA,YRF,60800000,41955042885,4154
15,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46.6M,-,India,,14M,,,UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,63300000,36828994635,688
16,CarryMinati @carryminati,41.6M,9.20%,India,Video Gaming,12.5M,,,carryminati,Carry Minati,42800000,"3,864,018,907 ",199
17,Shemaroo @UCF1JIbMUs6uqoZEY1Haw0GQ,41.2M,-,India,Celebrity,12.4M,,,UCF1JIbMUs6uqoZEY1Haw0GQ,Shemaroo,54200000,24843581555,12594
18,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41.1M,-,India,Music,12.3M,,,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,44400000,29270595933,11593
19,Voot Kids @UCJg19noZp7-BYIGvypu_cow,39.3M,-,India,,11.8M,,,UCJg19noZp7-BYIGvypu_cow,Voot Kids,47600000,22908933011,6022
20,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38.5M,-,India,Music Celebrity,11.6M,,,UCWi_65E_L8tQZ34C6wVAlpQ,Ishtar Music,45800000,19711150362,4648
21,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35.6M,-,India,,10.7M,,,UCtW7qWjpCZ8zps-Cf2NF26w,Goldmines Gaane Sune Ansune,42700000,19315556657,3847
22,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33.6M,-,India,,10.1M,,,UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,36900000,23977632711,8635
23,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33.6M,0.20%,India,Video Gaming,10.1M,,,UC5c9VlYTSvBSCaoMu_GI6gQ,Total Gaming,42700000,4362400117,505
24,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33.5M,-,India,,10.1M,,,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,44400000,17712672876,392412
25,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33M,1.80%,India,,9.9M,,,UCLtNvbkqea8wN_kGtfgx_Mw,Desi Music Factory,33900000,10665869254,241
26,Bollywood Classics @UCRm96I5kmb_iGFofE5N691w,32.7M,-,India,,9.8M,,,UCRm96I5kmb_iGFofE5N691w,T-Series Bollywood Classics,41400000,27173274447,2066
27,Saregama Music @UC_A7K2dXFsTMAciGmnNxy-Q,32.1M,-,India,,9.6M,,,UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,42800000,20265915821,8984
28,Rajshri @UCEKWXRsfUHkan-D_ljU8Asw,31.9M,-,India,,9.6M,,,UCEKWXRsfUHkan-D_ljU8Asw,Rajshri,36600000,16805981036,4480
29,IndiaTV @UCttspZesZIDEwwpVIgoZtWQ,31.6M,-,India,,9.5M,,,UCttspZesZIDEwwpVIgoZtWQ,IndiaTV,42300000,20811264408,310481
30,Eros Now Music @UCX52tYZiEh_mHoFja3Veciw,31.1M,-,India,,9.3M,,,UCX52tYZiEh_mHoFja3Veciw,Eros Now Music,34100000,17877405316,9730
31,MR. INDIAN HACKER @UCSiDGb0MnHFGjs4E2WKvShw,29.8M,-,India,,8.9M,,,UCSiDGb0MnHFGjs4E2WKvShw,MR. INDIAN HACKER,41200000,7178946285,1032
32,Zee News @UCIvaYmXn910QMdemBG3v1pQ,28.7M,-,India,,8.6M,,,UCIvaYmXn910QMdemBG3v1pQ,Zee News,36700000,22243127541,181402
33,Techno Gamerz @UCX8pnu3DYUnx8qy8V_c6oHg,28.1M,0.90%,India,News Video Gaming,8.4M,,,UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,41500000,12127717154,1047
34,Wow Kidz @UCN8S4CqMRy6tVKVXvs7Bzeg,27.6M,-,India,,8.3M,,,UCN8S4CqMRy6tVKVXvs7Bzeg,WowKidz,37000000,19881724469,8524
35,infobells - Tamil @UCHcn4Ux-sO9nzNu7rDsoQLg,27.1M,-,India,Marketing and Advertising Education,8.1M,,,UCHcn4Ux-sO9nzNu7rDsoQLg,infobells - Tamil,32000000,20018773561,664
36,infobells - Telugu @UCHvoq_rGmOKJKGId1nD1V4Q,26.5M,-,India,,8M,,,UCHvoq_rGmOKJKGId1nD1V4Q,infobells - Telugu,32200000,17576782269,614
37,BB Ki Vines @UCqwUrj10mAEsqezcItqvwEw,25.5M,6%,India,Education Celebrity Business and Finance,7.7M,,,UCqwUrj10mAEsqezcItqvwEw,BB Ki Vines,26400000,4986213703,192
38,Shemaroo Movies @UCBOmfqgTZi7yDp4-3Lr_3lA,22.6M,-,India,,6.8M,,,UCBOmfqgTZi7yDp4-3Lr_3lA,Shemaroo Movies,33000000,9102589809,3440
39,White Hill Music @UCopY0NAzASqmD6eVaRj2TFQ,22.4M,-,India,,6.7M,,,UCopY0NAzASqmD6eVaRj2TFQ,Ishtar Punjabi,24000000,12034805214,6454
40,Technical Guruji @UCOhHO2ICt0ti9KAh-QHvttQ,22.2M,-,India,,6.7M,,,UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23600000,3717884364,5511
41,Venus Movies @UCpcsv3Ow-8IhoUGDEfPetsQ,21.8M,-,India,,6.5M,,,UCpcsv3Ow-8IhoUGDEfPetsQ,Venus Movies,25800000,6171206412,1982
42,Wave Music Bhojpuri @UCYLlkv4hivYJlOk6Lo-RHNQ,21.8M,-,India,,6.5M,,,UCYLlkv4hivYJlOk6Lo-RHNQ,Wave Music Bhojpuri,24800000,14433752269,23890
43,Crazy XYZ @UCebC4x5l2-PQxg46Ucv9CsA,21.7M,1.30%,India,,6.5M,,,UCebC4x5l2-PQxg46Ucv9CsA,Crazy XYZ,30800000,9074988884,1368
44,Dushyant kukreja @UCo6y9hnRawAqtyWhRhblXqg,21.3M,-,India,,6.4M,,,UCo6y9hnRawAqtyWhRhblXqg,Dushyant kukreja,43400000,26576932364,1228
45,Pen Movies @UC3ar28GS6o1p0m_wabfk2zw,21.1M,-,India,Celebrity,6.3M,,,UC3ar28GS6o1p0m_wabfk2zw,Pen Movies,27500000,8196540184,1758
46,Ultra Movie Parlour @UCYauDsl-rswjQGpA0_-Z9Pw,20.8M,-,India,,6.2M,,,UCYauDsl-rswjQGpA0_-Z9Pw,Ultra Movie Parlour,26800000,5530525399,2003
47,Netflix India @UCZSNzBgFub_WWil6TOTYwAg,20.6M,-,India,Celebrity,6.2M,,,UCZSNzBgFub_WWil6TOTYwAg,Netflix India,24300000,10124010972,4741
48,Dr. Vivek Bindra: Motivational Speaker @UCR-foyF-C6VuAlwy3KZMkgA,20.5M,-,India,,6.2M,,,UCR-foyF-C6VuAlwy3KZMkgA,Dr. Vivek Bindra: Motivational Speaker,21200000,1938528174,1424
